village,district,city
莊敬里,松山區,TPE
東榮里,松山區,TPE
三民里,松山區,TPE
新益里,松山區,TPE
富錦里,松山區,TPE
新東里,松山區,TPE
富泰里,松山區,TPE
介壽里,松山區,TPE
精忠里,松山區,TPE
東光里,松山區,TPE
龍田里,松山區,TPE
東昌里,松山區,TPE
東勢里,松山區,TPE
中華里,松山區,TPE
民有里,松山區,TPE
民福里,松山區,TPE
慈祐里,松山區,TPE
安平里,松山區,TPE
鵬程里,松山區,TPE
自強里,松山區,TPE
吉祥里,松山區,TPE
新聚里,松山區,TPE
復盛里,松山區,TPE
中正里,松山區,TPE
中崙里,松山區,TPE
美仁里,松山區,TPE
吉仁里,松山區,TPE
敦化里,松山區,TPE
復源里,松山區,TPE
復建里,松山區,TPE
復勢里,松山區,TPE
福成里,松山區,TPE
松基里,松山區,TPE
西村里,信義區,TPE
正和里,信義區,TPE
興隆里,信義區,TPE
中興里,信義區,TPE
新仁里,信義區,TPE
興雅里,信義區,TPE
敦厚里,信義區,TPE
廣居里,信義區,TPE
安康里,信義區,TPE
六藝里,信義區,TPE
雅祥里,信義區,TPE
五常里,信義區,TPE
五全里,信義區,TPE
永吉里,信義區,TPE
長春里,信義區,TPE
四育里,信義區,TPE
四維里,信義區,TPE
永春里,信義區,TPE
富台里,信義區,TPE
國業里,信義區,TPE
松隆里,信義區,TPE
松友里,信義區,TPE
松光里,信義區,TPE
中坡里,信義區,TPE
中行里,信義區,TPE
大道里,信義區,TPE
大仁里,信義區,TPE
景新里,信義區,TPE
惠安里,信義區,TPE
三張里,信義區,TPE
三犁里,信義區,TPE
六合里,信義區,TPE
泰和里,信義區,TPE
景聯里,信義區,TPE
景勤里,信義區,TPE
雙和里,信義區,TPE
嘉興里,信義區,TPE
黎順里,信義區,TPE
黎平里,信義區,TPE
黎忠里,信義區,TPE
黎安里,信義區,TPE
德安里,大安區,TPE
仁慈里,大安區,TPE
和安里,大安區,TPE
民炤里,大安區,TPE
仁愛里,大安區,TPE
義村里,大安區,TPE
民輝里,大安區,TPE
昌隆里,大安區,TPE
誠安里,大安區,TPE
光武里,大安區,TPE
龍坡里,大安區,TPE
龍泉里,大安區,TPE
古風里,大安區,TPE
古莊里,大安區,TPE
龍安里,大安區,TPE
錦安里,大安區,TPE
福住里,大安區,TPE
永康里,大安區,TPE
光明里,大安區,TPE
錦泰里,大安區,TPE
錦華里,大安區,TPE
龍圖里,大安區,TPE
新龍里,大安區,TPE
龍陣里,大安區,TPE
龍雲里,大安區,TPE
龍生里,大安區,TPE
住安里,大安區,TPE
義安里,大安區,TPE
通化里,大安區,TPE
通安里,大安區,TPE
臨江里,大安區,TPE
法治里,大安區,TPE
全安里,大安區,TPE
群賢里,大安區,TPE
群英里,大安區,TPE
虎嘯里,大安區,TPE
臥龍里,大安區,TPE
龍淵里,大安區,TPE
龍門里,大安區,TPE
大學里,大安區,TPE
芳和里,大安區,TPE
黎元里,大安區,TPE
黎孝里,大安區,TPE
黎和里,大安區,TPE
建安里,大安區,TPE
建倫里,大安區,TPE
敦安里,大安區,TPE
正聲里,大安區,TPE
敦煌里,大安區,TPE
華聲里,大安區,TPE
車層里,大安區,TPE
光信里,大安區,TPE
學府里,大安區,TPE
正守里,中山區,TPE
正義里,中山區,TPE
正得里,中山區,TPE
民安里,中山區,TPE
康樂里,中山區,TPE
中山里,中山區,TPE
聚盛里,中山區,TPE
集英里,中山區,TPE
聚葉里,中山區,TPE
恆安里,中山區,TPE
晴光里,中山區,TPE
圓山里,中山區,TPE
劍潭里,中山區,TPE
大直里,中山區,TPE
成功里,中山區,TPE
永安里,中山區,TPE
大佳里,中山區,TPE
新喜里,中山區,TPE
新庄里,中山區,TPE
新福里,中山區,TPE
松江里,中山區,TPE
新生里,中山區,TPE
中庄里,中山區,TPE
行政里,中山區,TPE
行仁里,中山區,TPE
行孝里,中山區,TPE
下埤里,中山區,TPE
江寧里,中山區,TPE
江山里,中山區,TPE
中吉里,中山區,TPE
中原里,中山區,TPE
興亞里,中山區,TPE
中央里,中山區,TPE
朱馥里,中山區,TPE
龍洲里,中山區,TPE
朱園里,中山區,TPE
埤頭里,中山區,TPE
朱崙里,中山區,TPE
力行里,中山區,TPE
復華里,中山區,TPE
金泰里,中山區,TPE
北安里,中山區,TPE
水源里,中正區,TPE
富水里,中正區,TPE
文盛里,中正區,TPE
林興里,中正區,TPE
河堤里,中正區,TPE
頂東里,中正區,TPE
網溪里,中正區,TPE
板溪里,中正區,TPE
螢圃里,中正區,TPE
螢雪里,中正區,TPE
永功里,中正區,TPE
永昌里,中正區,TPE
龍興里,中正區,TPE
忠勤里,中正區,TPE
廈安里,中正區,TPE
愛國里,中正區,TPE
南門里,中正區,TPE
龍光里,中正區,TPE
南福里,中正區,TPE
龍福里,中正區,TPE
新營里,中正區,TPE
建國里,中正區,TPE
光復里,中正區,TPE
黎明里,中正區,TPE
梅花里,中正區,TPE
幸福里,中正區,TPE
幸市里,中正區,TPE
東門里,中正區,TPE
文北里,中正區,TPE
文祥里,中正區,TPE
三愛里,中正區,TPE
玉泉里,大同區,TPE
建明里,大同區,TPE
建功里,大同區,TPE
建泰里,大同區,TPE
永樂里,大同區,TPE
朝陽里,大同區,TPE
星明里,大同區,TPE
光能里,大同區,TPE
大有里,大同區,TPE
延平里,大同區,TPE
雙連里,大同區,TPE
南芳里,大同區,TPE
民權里,大同區,TPE
景星里,大同區,TPE
隆和里,大同區,TPE
蓬萊里,大同區,TPE
國順里,大同區,TPE
國慶里,大同區,TPE
揚雅里,大同區,TPE
斯文里,大同區,TPE
鄰江里,大同區,TPE
至聖里,大同區,TPE
老師里,大同區,TPE
重慶里,大同區,TPE
保安里,大同區,TPE
福星里,萬華區,TPE
萬壽里,萬華區,TPE
西門里,萬華區,TPE
新起里,萬華區,TPE
菜園里,萬華區,TPE
青山里,萬華區,TPE
富民里,萬華區,TPE
福音里,萬華區,TPE
仁德里,萬華區,TPE
富福里,萬華區,TPE
頂碩里,萬華區,TPE
雙園里,萬華區,TPE
新忠里,萬華區,TPE
新和里,萬華區,TPE
糖?里,萬華區,TPE
和平里,萬華區,TPE
綠堤里,萬華區,TPE
華江里,萬華區,TPE
柳鄉里,萬華區,TPE
日善里,萬華區,TPE
新安里,萬華區,TPE
忠德里,萬華區,TPE
孝德里,萬華區,TPE
和德里,萬華區,TPE
錦德里,萬華區,TPE
全德里,萬華區,TPE
保德里,萬華區,TPE
銘德里,萬華區,TPE
榮德里,萬華區,TPE
壽德里,萬華區,TPE
興德里,萬華區,TPE
華中里,萬華區,TPE
日祥里,萬華區,TPE
忠貞里,萬華區,TPE
凌霄里,萬華區,TPE
騰雲里,萬華區,TPE
景行里,文山區,TPE
景東里,文山區,TPE
景美里,文山區,TPE
景慶里,文山區,TPE
景仁里,文山區,TPE
景華里,文山區,TPE
萬有里,文山區,TPE
萬祥里,文山區,TPE
萬隆里,文山區,TPE
萬年里,文山區,TPE
萬和里,文山區,TPE
萬盛里,文山區,TPE
興豐里,文山區,TPE
興光里,文山區,TPE
興家里,文山區,TPE
興得里,文山區,TPE
興業里,文山區,TPE
興安里,文山區,TPE
興福里,文山區,TPE
興旺里,文山區,TPE
興泰里,文山區,TPE
興昌里,文山區,TPE
試院里,文山區,TPE
華興里,文山區,TPE
明義里,文山區,TPE
明興里,文山區,TPE
木柵里,文山區,TPE
木新里,文山區,TPE
順興里,文山區,TPE
樟林里,文山區,TPE
樟新里,文山區,TPE
樟腳里,文山區,TPE
萬芳里,文山區,TPE
博嘉里,文山區,TPE
萬興里,文山區,TPE
指南里,文山區,TPE
老泉里,文山區,TPE
忠順里,文山區,TPE
萬美里,文山區,TPE
政大里,文山區,TPE
樟文里,文山區,TPE
興邦里,文山區,TPE
樟樹里,文山區,TPE
南港里,南港區,TPE
中南里,南港區,TPE
新富里,南港區,TPE
三重里,南港區,TPE
東新里,南港區,TPE
新光里,南港區,TPE
東明里,南港區,TPE
西新里,南港區,TPE
玉成里,南港區,TPE
合成里,南港區,TPE
成福里,南港區,TPE
萬福里,南港區,TPE
鴻福里,南港區,TPE
百福里,南港區,TPE
聯成里,南港區,TPE
舊莊里,南港區,TPE
中研里,南港區,TPE
九如里,南港區,TPE
仁福里,南港區,TPE
重陽里,南港區,TPE
西湖里,內湖區,TPE
西康里,內湖區,TPE
西安里,內湖區,TPE
港墘里,內湖區,TPE
港都里,內湖區,TPE
港富里,內湖區,TPE
港華里,內湖區,TPE
內湖里,內湖區,TPE
湖濱里,內湖區,TPE
紫星里,內湖區,TPE
大湖里,內湖區,TPE
金龍里,內湖區,TPE
金瑞里,內湖區,TPE
碧山里,內湖區,TPE
紫雲里,內湖區,TPE
清白里,內湖區,TPE
葫洲里,內湖區,TPE
紫陽里,內湖區,TPE
瑞陽里,內湖區,TPE
瑞光里,內湖區,TPE
五分里,內湖區,TPE
東湖里,內湖區,TPE
樂康里,內湖區,TPE
內溝里,內湖區,TPE
週美里,內湖區,TPE
行善里,內湖區,TPE
石潭里,內湖區,TPE
湖興里,內湖區,TPE
湖元里,內湖區,TPE
安湖里,內湖區,TPE
秀湖里,內湖區,TPE
安泰里,內湖區,TPE
金湖里,內湖區,TPE
康寧里,內湖區,TPE
明湖里,內湖區,TPE
蘆洲里,內湖區,TPE
麗山里,內湖區,TPE
寶湖里,內湖區,TPE
南湖里,內湖區,TPE
仁勇里,士林區,TPE
義信里,士林區,TPE
福林里,士林區,TPE
福德里,士林區,TPE
福志里,士林區,TPE
舊佳里,士林區,TPE
福佳里,士林區,TPE
後港里,士林區,TPE
福中里,士林區,TPE
前港里,士林區,TPE
百齡里,士林區,TPE
承德里,士林區,TPE
福華里,士林區,TPE
明勝里,士林區,TPE
福順里,士林區,TPE
富光里,士林區,TPE
葫蘆里,士林區,TPE
葫東里,士林區,TPE
社子里,士林區,TPE
社新里,士林區,TPE
社園里,士林區,TPE
永倫里,士林區,TPE
福安里,士林區,TPE
富洲里,士林區,TPE
岩山里,士林區,TPE
名山里,士林區,TPE
德行里,士林區,TPE
德華里,士林區,TPE
聖山里,士林區,TPE
忠誠里,士林區,TPE
芝山里,士林區,TPE
東山里,士林區,TPE
三玉里,士林區,TPE
蘭雅里,士林區,TPE
蘭興里,士林區,TPE
天福里,士林區,TPE
天祿里,士林區,TPE
天壽里,士林區,TPE
天和里,士林區,TPE
天山里,士林區,TPE
天玉里,士林區,TPE
天母里,士林區,TPE
永福里,士林區,TPE
公館里,士林區,TPE
新安里,士林區,TPE
陽明里,士林區,TPE
菁山里,士林區,TPE
平等里,士林區,TPE
溪山里,士林區,TPE
翠山里,士林區,TPE
臨溪里,士林區,TPE
建民里,北投區,TPE
文林里,北投區,TPE
石牌里,北投區,TPE
福興里,北投區,TPE
榮光里,北投區,TPE
榮華里,北投區,TPE
裕民里,北投區,TPE
振華里,北投區,TPE
永和里,北投區,TPE
永欣里,北投區,TPE
永明里,北投區,TPE
東華里,北投區,TPE
吉利里,北投區,TPE
吉慶里,北投區,TPE
尊賢里,北投區,TPE
立賢里,北投區,TPE
立農里,北投區,TPE
八仙里,北投區,TPE
洲美里,北投區,TPE
奇岩里,北投區,TPE
清江里,北投區,TPE
中央里,北投區,TPE
長安里,北投區,TPE
大同里,北投區,TPE
溫泉里,北投區,TPE
林泉里,北投區,TPE
中心里,北投區,TPE
中庸里,北投區,TPE
開明里,北投區,TPE
中和里,北投區,TPE
智仁里,北投區,TPE
秀山里,北投區,TPE
文化里,北投區,TPE
豐年里,北投區,TPE
稻香里,北投區,TPE
桃源里,北投區,TPE
一德里,北投區,TPE
關渡里,北投區,TPE
泉源里,北投區,TPE
湖山里,北投區,TPE
大屯里,北投區,TPE
湖田里,北投區,TPE
